sample_id	total_num	read_1_num	read_2_num	mapping_type	mapped_num	mapped_rate	paired_num	paired_rate	singletons_num	singletons_rate	mate_mapped_num	mate_mapped_num_mapQge5	method
RSZYD18187792_A_saliva	175791493	87857184	87857184	paired-end	127609090	0.7259	126867486	0.722	62645	0.0004	387884	224721	metapi_bwa_f12F256
RDPYD18093627_A_togue	170654149	85315861	85315861	paired-end	34882357	0.2044	34679060	0.2032	70488	0.0004	67442	28863	metapi_bwa_idfilter
RSZYD18187783_A_saliva	182856655	91372018	91372018	paired-end	168224692	0.92	167192330	0.9149	39393	0.0002	551992	322661	metapi_bwa_f4
RSZYD18187272_A_saliva	201968943	100912617	100912617	paired-end	140980712	0.698	139936512	0.6934	104861	0.0005	526554	279600	metapi_bwa_idfilter
RDPYD18089343_A_togue	166151545	83060015	83060015	paired-end	33408201	0.2011	33210522	0.1999	37026	0.0002	76810	28465	metapi_bwa_idfilter
RSZYD18186999_A_saliva	191324899	95598586	95598586	paired-end	114035731	0.596	113265430	0.5924	43604	0.0002	360756	142115	metapi_bwa_idfilter
RSZYD18078394_A_saliva	174661664	87305329	87305329	paired-end	97570692	0.5586	96982840	0.5554	91298	0.0005	281088	164440	metapi_bwa_idfilter
RDPYD18088839_A_saliva	181837438	90857973	90857973	paired-end	170835119	0.9395	169385556	0.9321	49353	0.0003	954950	673550	metapi_bwa_idfilter
RSZYD18187537_A_saliva	188215030	94085001	94085001	paired-end	64798848	0.3443	64396528	0.3422	79120	0.0004	178830	86702	metapi_bwa_f12F256
RSZYD18187783_A_saliva	182856655	91372018	91372018	paired-end	168224692	0.92	167192330	0.9149	39393	0.0002	551992	322661	metapi_bwa_idfilter
RSZYD18187792_A_saliva	175791493	87857184	87857184	paired-end	127609090	0.7259	126867486	0.722	62645	0.0004	387884	224721	metapi_bwa_idfilter
RSZYD18187227_A_saliva	179598823	89757347	89757347	paired-end	122699454	0.6832	122036670	0.6798	72343	0.0004	361828	202828	metapi_bwa_f4
RDPYD18079672_A_togue	239462022	119685602	119685602	paired-end	112352161	0.4692	111703450	0.4667	93903	0.0004	282902	123498	metapi_bwa_f4
RSZYD18093181_A_togue	172540233	86265552	86265552	paired-end	16886724	0.0979	16819478	0.0975	24773	0.0001	19640	7053	metapi_bwa_idfilter
RSZYD18093181_A_togue	172540233	86265552	86265552	paired-end	16886724	0.0979	16819478	0.0975	24773	0.0001	19640	7053	metapi_bwa_f12F256
RDPYD18300129_A_saliva	187062369	93463697	93463697	paired-end	155850134	0.8331	154591236	0.827	78797	0.0004	765180	491375	metapi_bwa_f4
RDPYD18079665_A_togue	180631189	90305314	90305314	paired-end	25234836	0.1397	25113094	0.139	25763	0.0001	48770	19612	metapi_bwa_idfilter
RDPYD18079672_A_togue	239462022	119685602	119685602	paired-end	112352161	0.4692	111703450	0.4667	93903	0.0004	282902	123498	metapi_bwa_idfilter
RSZYD18187272_A_saliva	201968943	100912617	100912617	paired-end	140980712	0.698	139936512	0.6934	104861	0.0005	526554	279600	metapi_bwa_f12F256
